Grant ID,MRFF Initiative,Grant Opportunity,Organisation,Organisation Type,"State 
or Territory ",Project Name,Project Summary,"Chief Investigator 
A/Project Lead",Chief Investigator Team,Type of Grant,Contract Start Date,Contract End Date,"Field(s) of Research
(DIVISION / Group / Field)",Broad Research Area, Total Grant Value ,Date Uploaded^
MRF1173594,Genomics Health Futures Mission,2019 Investigator Grants,University of New South Wales,University,NSW,Developing synthetic DNA reference standards (sequins) to ensure accuracy in emerging genomic techniques,"DNA sequencing can identify genetic mutations that cause disease. However, the process is challenging and technical errors can cause incorrect diagnoses. My research group has developed synthetic DNA controls (sequins) that mitigate such errors. I plan to expand this approach to create sequin controls for three cutting-edge sequencing techniques that promise to revolutionise genomics. Sequins will improve the accuracy of these new techniques & facilitate their adoption into clinical practice.",Doctor Ira Deveson,Not applicable,Targeted competitive,1/1/2020,31/12/2024,"BIOLOGICAL SCIENCES, Genetics, Genomics",Basic Science Research,1443588,Prior to 03/09/2024
MRF1176199,Genomics Health Futures Mission,2019 Investigator Grants,The Walter and Eliza Hall Institute of Medical Research,Medical Research Institute,VIC,Statistical methods for analysing next generation sequencing data,The advancing genomic technologies will bring difficult and exciting challenges to the field of bioinformatics. There is a huge demand in statistical and bioinformatics solutions for analyzing and interpreting the data from the cutting-edge technologies. My research in the next five years will mainly involve developing statistical and bioinformatics strategies for analyzing such data. My solid background in bioinformatics and statistics will enable me to make great contribution to the field.,Doctor Yunshun Chen,Not applicable,Targeted competitive,1/1/2020,31/12/2024,"MATHEMATICAL SCIENCES, Statistics, Biostatistics",Basic Science Research,639750,Prior to 03/09/2024
MRF1175457,Genomics Health Futures Mission,2019 Investigator Grants,The University of Queensland,University,QLD,The history of the human genome and the mechanisms of genomic disease,I lead a team aimed at developing computational and molecular approaches to better understand the relationship between changes in our DNA and changes in our health and well-being. I study how mutations drive tumours to form and how human genetic disease is related to mutations of the genome sequence. This fellowship will support my work on understanding how gene duplications affect the genome and what impact they have on health and disease.,Doctor Adam Ewing,Not applicable,Targeted competitive,1/1/2020,31/12/2024,"BIOLOGICAL SCIENCES, Genetics, Genomics",Basic Science Research,1554485,Prior to 03/09/2024
EPCD000002,Emerging Priorities and Consumer Driven Research,2019 Autism Spectrum Disorder,Monash University,University,VIC,Autism Spectrum Disorders and Comorbid Disorders: Diagnosis and Treatment,Autism spectrum disorders (ASDs) are persistent neurodevelopmental conditions that frequently co-occur with other conditions such as ADHD. This comorbidity necessitates the identification of biomarkers across the ASD-ADHD spectrum that may aid differential diagnosis or lead to the identification of novel treatment options. This project will: (1) establish a landmark cohort of 1200 families across the ASD-ADHD spectrum and use cutting edge data science to identify novel subgroups; (2) use brain imaging to understand common and unique brain signatures; (3) apply cutting-edge genomics to identify common and unique genetic signatures; (4) implement a novel cognitive training programme to boost attention and executive function.,Not applicable,Not available,One-off/ad hoc,20/1/2020,31/12/2024,Not available,Not available,2500000,Prior to 03/09/2024
EPCD000006,Emerging Priorities and Consumer Driven Research,2019 Women in Sport,Victoria University,University,VIC,Changing Practice: Mental and Physical Health of Girls and Women,"Despite the mental and physical, social, equity and economic benefits associated with girls and women involved as leaders and participants in sport, women are largely under-represented in leadership positions and fewer females participate in sport than males. The aim of this research is to change practices and increase the number of women and girls as leaders and participants in sport. The research will involve four sub-projects with separate aims: Aim 1: To identify factors to attract and retain women from CALD backgrounds as leaders in sport. Aim 2: To design and evaluate an intervention to change practices across sectors in the workplace to encourage more women in male-dominated leadership positions. Aim 3: To investigate community grass-roots sport participation for girls and women and their retention and drop-out patterns across the lifespan for two national sports. Aim 4: To collect comprehensive mental health and wellbeing data from women in semi and professional sports to assess and track mental health and evaluate existing initiatives.",Not applicable,Not available,One-off/ad hoc,29/1/2020,30/6/2023,Not available,Not available,1000000,Prior to 03/09/2024
MRF1190814,Clinical Trials Activity,2019 International Clinical Trial Collaborations (Round 19.2),Murdoch Children's Research Institute,Medical Research Institute,VIC,Pragmatic Paediatric Trial of Balanced versus Normal Saline Fluid in Sepsis (PRoMPT-BOLUS),"Sepsis is the most common cause of multiple organ failure and hospital death in children. In adult and in animal studies there are concerns that normal saline (the standard resuscitation fluid) is worse than a balanced fluid (which is more similar to blood). By enrolling 8,800 children across Australia, New Zealand, US and Canada, this large study will provide definitive evidence for which fluid is better, with the potential to save the lives of thousands of children’s lives worldwide.",Professor Franz Babl,"Professor Franz Babl, Associate Professor Edward Oakley, Professor Stuart Dalziel, Professor Meredith Borland, Emeritus Professor Nathan Kuppermann, Associate Professor Scott Weiss, Associate Professor Fran Balamuth, Doctor Elliot Long",Restricted competitive,1/2/2020,31/1/2028,"MEDICAL AND HEALTH SCIENCES, Clinical sciences, Emergency medicine",Clinical Medicine and Science Research,3055620,Prior to 03/09/2024
MRF1191909,Clinical Trials Activity,2019 International Clinical Trial Collaborations (Round 19.2),University of Sydney,University,NSW,POLEM Trial: Avelumab plus fluoropyrimidine-based chemotherapy as adjuvant treatment for stage III dMMR or POLE exonuclease domain mutant colon cancer: A phase III randomised study,"Most people with stage III colon cancer are treated with surgery then chemotherapy to prevent cancer coming back. In some patients, unfortunately cancer does come back. This study is being conducted to assess whether adding a new drug to standard chemotherapy could reduce the risk of cancer returning. This new drug, called avelumab is an immunotherapy drug that helps the immune system attack and kill cancer cells. If positive this trial could change treatment worldwide for this patient group.",Professor Timothy Price,"Professor Timothy Price, Professor Niall Tebbutt, Associate Professor Jeanne Tie, Professor Christos Karapetis, Professor Stephen Ackland, Doctor Connie Diakos, Doctor matthew burge, Doctor Naureen Starling, Doctor Tony Dhillon",Restricted competitive,1/2/2020,8/5/2023,"MEDICAL AND HEALTH SCIENCES, Oncology and carcinogenesis, Molecular targets",Clinical Medicine and Science Research,981312.5,Prior to 03/09/2024
MRF1192408,Clinical Trials Activity,2019 International Clinical Trial Collaborations (Round 19.2),University of Sydney,University,NSW,Apixaban Twice Daily vs Rivaroxaban Once Daily for the Treatment of Venous Thromboembolism: A randomised controlled trial (COBRRA),"Blood clots in leg veins and lung arteries decrease quality of life of patients and may cause death. The best way to prevent recurrent clots is with blood thinning medications. A side effect of blood thinning is bleeding. Two new drugs which prevent recurrent clots are accepted as standard of care. However, it is not clear which drug results in fewer bleeding events. We will study patients with blood clots to determine which of these drugs is safer and results in less bleeding events.",Doctor Vivien Chen,"Doctor Vivien Chen, Associate Professor Lana Castellucci, Doctor Timothy Brighton, Professor Huyen Tran, Professor Marc Rodger, Professor Gregoire Le Gal, Professor Susan Kahn, Professor John Simes, Doctor Caroline Reddel, Professor Rachael Morton",Restricted competitive,1/2/2020,31/7/2026,"MEDICAL AND HEALTH SCIENCES, Cardiorespiratory medicine and haematology, Haematology",Clinical Medicine and Science Research,1057839.75,Prior to 03/09/2024
EPCD000005,Emerging Priorities and Consumer Driven Research,2019 Lung Cancer Genomics,Australian Genomic Cancer Medicine Centre Ltd,Corporation,NSW,ASPiRATION: assessing the impact of genomic profiling in lung cancer,"There are several well-established, and an increasing number of, genomic alterations in metastatic non-squamous non-small cell lung cancer (mNSCLC) that are not adequately identified by current diagnostic testing. Comprehensive genomic profiling (CGP) has the capacity to identify actionable genomic alterations missed by current testing, potentially allowing patients to access personalised treatment with emerging targeted drugs currently available or in development. The ASPiRATION study will evaluate the clinical impact of CGP on the management of mNSCLC and assess the feasibility of implementation of CGP nationally.",Not applicable,Not available,One-off/ad hoc,5/2/2020,31/12/2025,Not available,Not available,5000000,Prior to 03/09/2024
EPCD000008,Emerging Priorities and Consumer Driven Research,2019 Multiple Sclerosis (MS) Flagship,University of Tasmania,University,TAS,The Multiple Sclerosis (MS) Flagship,"The goal of the Menzies Institute for Medical Research Multiple Sclerosis (MS) Flagship is to perform high–quality, interdisciplinary, and consumer–engaged research designed to reduce the impact of MS on individuals, their families and society. To this end, this MRFF opportunity will support the MS Flagship to establish a stem cell bank designed to advance MS research, and support laboratory research into brain function, myelin repair, and the genes that underpin MS risk. They will also partner with consumers and stakeholders to develop an economic model to identify cost–effective treatments and interventions for MS, and develop education tools and online resources for people living with MS, including a symptom management App.",Not applicable,Not available,One-off/ad hoc,6/2/2020,30/6/2024,Not available,Not available,10000000,Prior to 03/09/2024
