Application ID,Chief Investigator Team,Funding Scheme,Grant Title,Administering Institution,Grant Start Date,Total amount awarded,Plain Description
2043672,Dr Ankur Sharma; Prof Jacob George; Prof Joseph Powell; Prof Alexander Swarbrick; Dr Ziyi Li; Dr Archita Mishra; Dr Shila Ghazanfar; Assoc Prof Venessa Chin; Dr Kylie James; Dr Jia Liu,International Collaborations,CELLOGRAMRx: Pan-Cancer Cellular composition and signalling relationship mapping to identify novel therapeutic targets,University of New South Wales,1/4/2025,1988050,"In collaboration between Australian and Japanese cancer researchers, clinicians and data scientists, we will build a comprehensive pan-cancer spatial map of cancer cells and their immune system from ~2000 patients representing top 10 cancers in our countries. This map will help in understanding why current therapies work only in some patients and some subtypes of cancers. This map will also allow us to identify new drug targets to develop novel therapies and rationalise treatment selection."
2043991,Prof Robert Graham; Assoc Prof Daniel Hesselson; Prof Colin Jackson; Dr Siiri Iismaa; Dr Xenia Kaidonis; Dr Alexander Cole; Dr John Chen,International Collaborations,Mechanisms blocking the repair of mammalian hearts after injury: using AI-assisted directed evolution of novel biologics to empower regeneration.,University of New South Wales,1/4/2025,1775202,Heart attacks damage heart muscle cells and can lead to heart failure with a poor 5-year survival rate. This research will elucidate the mechanisms of this poor heart repair and develop promising therapeutics to stimulate the regrowth of heart muscle. The project will identify the best drug candidate and formulate it so that it can be easily delivered to heart attack patients. The overall goal of this research is to remove roadblocks that prevent the body from healing itself after an injury.
2044048,Prof Damian Purcell; Dr Chantelle Ahlenstiel; Dr Marcel Doerflinger; Prof Anthony Kelleher; Assoc Prof Lloyd Einsiedel; Dr Natasha Jansz; Assoc Prof David Jacques; Prof Kevin Morris; Dr Genoveffa Franchini; Prof Pall Thordarson,International Collaborations,Control of endemic HTLV-1 to prevent silent global spread,University of Melbourne,1/4/2025,4370512.5,"Australian and Japanese researchers will combine our respective strengths to develop RNA and small molecule medicines to prevent and treat the Human T-cell Leukaemia Virus (HTLV) that is a priority infectious agent in our respective communities.  Australians bring expertise in RNA design, manufacture, formulation, delivery and regulatory affairs, and Japanese with clinical management, research materials and methods, and especially with HTLV infected primates needed for testing new medicines."
2037072,Prof Kate Curtis; Prof Ramon Shaban; Prof Julie Considine; Dr Mary Lam; Prof Steven McPhail; Prof Richard Lindley; Prof Rebecca Mitchell; Prof Daryl Jones; Dr Amith Shetty,Partnership Projects,HIRAID Inpatient: Improving the safety and quality of nursing care for hospital patients,University of Sydney,1/4/2025,1499999.99,"Australia’s hospitals are in crisis, because high rates of preventable adverse events (e.g infections, falls, medication errors), that cause patient harm, remain static. This codesigned HIRAID-Inpatient project will address this problem through the development of a new fit-for-purpose, “whole-of-patient"" nursing assessment framework for any patient with any condition on any ward. It will support nurses to deliver consistent high quality and safe care, reduce patient deterioration and save lives."
2039929,Assoc Prof Heather Shepherd; Mr David Follent; Dr Marguerite Tracy; Tara Dimopoulos-Bick; Prof Michelle Dickson; Dr Emma Webster; Mr Cory Paulson; Ms Melissa Cawley; Prof Gail Garvey; Emer Prof Lyndal Trevena,Partnership Projects,Supporting shared decision making in practice: implementation and evaluation of the Finding Your Way model for Mob,University of Sydney,1/4/2025,346157.55,"In 2021 the Agency for Clinical Innovation (ACI) in New South Wales worked with NSW Aboriginal communities to create a tool 'Finding Your Way' to help health workers talk about COVID-19 vaccination. Now the ACI have described the skills health workers need to put this shared decision-making (SDM) tool into practice, for any conversation about health. With Aboriginal governance and leadership, this research will validate a culturally safe measure of SDM and develop a framework to implement SDM."
2040196,Prof David Preen; Dr Colleen O'Leary; Dr Anna Waterreus; Prof Matthew Spittal; Assoc Prof Amanda Neil; Assoc Prof Rebecca Glauert; Dr Craig Cumming; Prof Daniel Fatovich; Prof Helen Leonard; Dr Nathan Gibson,Partnership Projects,"Investigating the health service pathways and outcomes of people seeking urgent care for mental illness, deliberate self-harm and suicidal behaviour",University of Western Australia,1/4/2025,1499527,"Australia is in a mental health crisis. Each year, over 3000 people die by suicide, and half of these people had attend an emergency department (ED) in the year before death, but services failed to prevent suicide.  We urgently need to understand what happens to people after they come to hospital so we can improve their MH outcomes. Working with key mental health agencies, results from this study will inform targeted, evidence based strategies to improve MH outcomes. "
2040450,Prof Amanda Ullman; Dr Sarah McNab; Assoc Prof Richard McGee; Prof Samantha Keogh; Ms Tricia Kleidon; Assoc Prof David Tickell; Dr Roni Cole; Dr Jessica Costa-Pinto; Prof Robert Ware; Prof Joshua Byrnes,Partnership Projects,Midlines Across Paediatrics (MAP):  An implementation project across regional and tertiary paediatrics,The University of Queensland,1/4/2025,1320116.2,"Children in Australia are undergoing painful procedures in hospital, that could be prevented. Together, 10 hospitals from across Australia will work together with researchers and policy makers to put in to practice a new medical device that will reduce pain, and improve our ability to give therapies, such as antibiotics and hydration. We will then put together a tool-kit to allow other hospitals across Australia to do the same. "
2040570,Prof Paulo Ferreira; Prof Nadine Foster; Prof Manuela Ferreira; Prof Meredith Makeham; Prof Kim Bennell; Prof Michele Sterling; Prof Haitham Tuffaha; Assoc Prof Ingrid Hickman; Prof Paul Hodges; Emer Prof Adrian Bauman,Partnership Projects,"Direct access to publicly funded physiotherapy for musculoskeletal pain: effectiveness, cost effectiveness, and implementation (PhysioDirect-Aus)",University of Sydney,1/4/2025,1499993.4,"The aims of this project are to determine the benefit of adding a funded direct access physiotherapy pathway to usual GP-led primary care in Australia, for adults with musculoskeletal pain. We anticipate direct access to physiotherapy will lead to similar improvements in physical health but will reduce inappropriate healthcare utilisation (eg. fewer medication prescriptions, imaging requests, and specialist referrals) compared to usual GP-led care alone."
2040673,Dr Sarah Lensen; Prof Cynthia Farquhar; Prof Tammy Hoffmann; Dr Karin Hammarberg; Prof Luk Rombauts; Prof Shanton Chang; Assoc Prof Stephanie Best; Assoc Prof Michelle Peate; Assoc Prof Sabine Braat,Partnership Projects,"Promoting evidence-informed decisions about IVF add-ons through co-design, implementation, and evaluation of a new website",University of Melbourne,1/4/2025,735816.8,"IVF ‘add-ons’ are optional extras which can be added to standard IVF protocols. Most IVF add-ons are not proven to be beneficial or safe, but patients may not realise this as information on the internet is unreliable and exaggerates potential benefits. We will develop a new website that has accurate information about add-ons, based on scientific evidence, and is trusted by IVF patients and doctors. IVF patients and doctors will help us to design it and experts will review the evidence."
2040703,Prof Sharon Goldfeld; Dr Meredith O'Connor; Prof Naomi Priest; Prof Margarita Moreno-Betancur; Dr Marnie Downes; Prof Hannah Badland; Prof Susan Woolfenden; Dr Amanda Alderton; Dr Sarah Gray; Dr Andi Camden,Partnership Projects,Stacking  interventions for equitable child health and development: building evidence to support precision policy,Murdoch Children's Research Institute,1/4/2025,492908.96,"Children’s health and development are shaped by the environments in which they live. We aim to promote health and development for children, especially those experiencing socioeconomic disadvantage. Using existing Australian and international data, we will examine how best to create supportive environments in the early years. The insights gained will guide policymakers in prioritising opportunities to improve equity in children’s health and development."
