ID,Manual_Sleep_Topic,Funding_body,Scheme,Organisation,Investigators,Date,Funding,Summary
"DP200100713",no,ARC,"ARC Discovery Projects","University of Melbourne","Prof Frank Caruso; A/Prof John Quinn",01-Jan-0020,737566,"Macromolecular Engineering of Functional Metal–Ligand Materials. Materials self-assembled from metal ions and ligands have a range of important applications, including as advanced coatings, adhesives and catalysts. However, these materials have been largely limited to those assembled from naturally occurring ligands such as phenolics, restricting their properties and function. This project aims to greatly expand the range of accessible properties of metal–phenolic materials by combining self-assembly with advanced polymer synthesis techniques. The expected outcome of the project is a new class of functional materials applicable as self-healing coatings, nanoadhesives and antimicrobial surfaces, thus underpinning next-generation technologies in materials science and nanotechnology."
"DP200100717",no,ARC,"ARC Discovery Projects","Macquarie University","Dr Tom Ellis; Dr Thomas Williams; Prof Isak Pretorius",01-Jan-0020,582260,"Sculpting a masterpiece: synthesis and evolution of minimal yeast genomes. This project aims to better understand genome complexity by engineering minimal yeast genomes that have fewer genes, and are therefore easier to characterise and engineer. Yeast is a model organism and industrial food, fuel, and chemical producer. This project expects to increase our basic understanding of yeast genomes, and develop new tools for engineering whole genomes. Expected outcomes of this project include the engineering and characterisation of the world's first minimal yeast genome, and the development of novel industrial yeast strains. This will provide significant benefits for both fundamental genetics and biochemistry research, and the industrial use of yeast for bio-manufacturing of sustainable foods, fuels, and chemicals."
"DP200100722",no,ARC,"ARC Discovery Projects","University of Melbourne","Prof Mark Rizzacasa",01-Jan-0020,142149,Ring-Strain Relief: Applications in Total Synthesis. This proposal aims to investigate the chemical synthesis of a number of structurally different natural product target molecules by strategies involving the use of either three or four membered ring-strained compounds to afford key synthetic intermediates in an efficient manner. The key aim of this research is to provide more efficient routes to complex natural products and analogues. The research strives to be at the forefront of modern synthetic organic chemistry and aims to contribute to the Science of complex molecule synthesis.
"DP200100723",no,ARC,"ARC Discovery Projects","Queensland University of Technology","Prof Alethea Blackler; Prof Stewart Trost; Prof Linda Knight; A/Prof Bernd Ploderer",01-Jan-0020,663832,"Framing and Enabling Children’s Active Play using Novel Technology. This project aims to address inactivity in the 3-5 age group through understanding and exploring innovative interactive active play experiences for children, with a view to increasing their physical activity over the long term. This project will be based on empirical research with real children undertaking real interactive experiences in real contexts, in order to understand issues around sustained engagement with these types of systems. We will design and develop solutions that may address the issues and test those interventions in a longitudinal manner. The outcome will be a framework which can be applied in a variety of situations and modalities by designers and developers of such systems, and feed into childhood technology guidelines.
"
"DP200100726",no,ARC,"ARC Discovery Projects","Macquarie University","Prof Deborah Schofield; Prof Jacob Veerman; A/Prof Rupendra Shrestha; Adj/Prof Simon Kelly; Prof Robert Tanton; A/Prof Yogi Vidyattama",01-Jan-0020,467130,"Assessing the national productivity impacts of chronic ill health. The project aims to address one of the biggest gaps in health and productivity research by designing a novel composite national metric that will rank lost productivity due to chronic illness The project brings together tax/transfer modelling, health modelling and epidemiological modelling specialists to develop a highly innovative microsimulation model: Health&WorkMOD to then quantify the costs of health-related productivity loss. The proposed model, an international first, will be a powerful tool to comprehensively model the cost impacts of illness and simulate policy options related to health and productivity. This will provide answers to critical policy questions for government with potential significant economic benefits."
"DP200100727",no,ARC,"ARC Discovery Projects","Deakin University","Prof Matthew Barnett; A/Prof Peter Lynch; Dr Andrew Stevenson; A/Prof Marc Fivel",01-Jan-0020,380996,Real-time imaging of crystal strengthening mechanisms in metals. The strength limit of a metal is marked by rapid motion of crystalline defects. The associated speeds can locally approach that of sound. To probe the associated mechanisms clearly requires both spatial and temporal resolution. We propose to create a new bulk x-ray technique with an unprecedented combination of temporal and spatial resolution. We plan to exploit the technique to mediate a step change in modelling strength based on twinning. The formation of crystalline twins is known to dictate the strength of the light metal magnesium. A fuller understanding of the effect of twinning on strength in this metal will provide much needed confidence to implement it more widely in energy saving applications.
"DP200100728",no,ARC,"ARC Discovery Projects","University of Melbourne","Prof Fiona Paisley; Prof Julie McLeod; A/Prof Sana Nakata; Prof Tony Ballantyne",01-Jan-0020,389442,"Progressive education and race: A transnational Australian history 1920-50s. This project will provide a new history of progressive education in Australia in the mid-twentieth century by investigating its neglected relationship to and effect upon Indigenous education and colonial governance. Using transnational and comparative methods, it will examine how international progressive ideas informed local initiatives, explore the role of Indigenous advocacy for educational reform and build a genealogy of educability and colonial childhood. Brought together for the first time, these investigations will strengthen understanding of Australian Aboriginal and educational history in global and regional contexts and contribute new knowledge and perspectives to current debates about equity, race and divided educational futures."
"DP200100729",no,ARC,"ARC Discovery Projects","University of Adelaide","Prof Mathai Varghese; Dr Peter Hochs; Dr Guo Chuan Thiang",01-Jan-0020,534451,"Coarse Geometry: a novel approach to the Callias index & topological matter. Coarse geometry is the study of the large-scale structure of metric spaces, in terms of operator algebras. This project aims to use coarse geometry to develop novel approaches to Callias index theory and its applications, and to topological phases of matter, where the Nobel Prize in physics in 2016 was awarded. This will yield new techniques in index theory and other areas, and solutions to several important problems. Outcomes include a noncompact generalisation of the famous Guillemin-Sternberg conjecture that quantisation commutes with reduction, and new models of topological phases of matter in terms of K-theory of operator algebras. This project will benefit Australia by reinforcing its position in these highly active areas in science."
"DP200100731",no,ARC,"ARC Discovery Projects","Monash University","Prof Emanuele Viterbo; Dr Son Hoang Dau; Dr Loi Luu; A/Prof Chen Feng; A/Prof Yu-Chih Huang",01-Jan-0020,442242,"Advanced error control coding techniques for scalable blockchains. The project aims to investigate the application of error-control coding theory in blockchains, focusing on reducing the storage, computation, and communication overheads, as well as increasing the throughput of blockchain networks. The ambition is to develop coding theory in a completely new territory: decentralised, untrusted, and peer-to-peer networks. The intended outcome is to greatly extend the current state of the art of the theory of error-control codes, previously investigated only in the context of centralised architectures, where a server coordinates every task. Practically, the project should provide significant benefits in terms of cost-effectiveness of blockchains, increase in their processing speed, and security enhancement. "
"DP200100737",no,ARC,"ARC Discovery Projects","University of Queensland","Dr Emma Gordon; A/Prof Anne Karine Lagendijk",01-Jan-0020,495046,"Defining mechanisms behind the formation of hierarchical vascular networks. Blood vessels form complex branched networks composed of arteries, capillaries and veins. The development and maintenance of different vessel systems (arteries and veins) is dependent on cell adherence properties within each vessel, yet how these are established and maintained remains unknown. This project aims to analyse the differences in junctional dynamics between sprouting arteries and veins, and to identify arterial and venous signalling networks that make and maintain vessel identity. This project will reveal how adhesiveness is regulated in order to make a hierarchical, functional vascular network, with implications for engineering of functional, vascularised organs in the biotech sector."
"DP200100742",no,ARC,"ARC Discovery Projects","Griffith University","Prof Michele Foster; Prof Kylie Burns; Prof Susan Harris Rimmer",01-Jan-0020,291838,"Adjudicating rights for a sustainable National Disability Insurance Scheme. The aim of the National Disability Insurance Scheme is to redress unfairness for disabled Australians. The sensitive question for government and citizens is how to determine what support is fair? The goal is support based on the perceived needs and choices of individuals. The government is additionally concerned to ensure financial sustainability by limiting expectations about reasonable and necessary support. This project will identify the dominant operating principles and debates concerning funded support, by analysing relevant frameworks, decisions, appeals and internal reviews. By taking an administrative justice perspective, it contributes to a critical debate about the values guiding funded support decisions and fairness outcomes."
"DP200100746",no,ARC,"ARC Discovery Projects","University of Newcastle","Em/Prof Robert Melchers; Dr Bobby Kannan Mathan; A/Prof Igor Chaves",01-Jan-0020,586423,"Longer-term progression of localised corrosion of critical infrastructure. This project aims to help Australian and international industry better predict the severity of localised corrosion at structural steel details, over years and decades. This is significant for the safety, reliability and economics of critical steel infrastructure, such as offshore structures and pipelines and defence facilities operating in and near marine environments. To reduce first cost, these often are not provided with coatings (paints) or other protection. The expected outcomes include improved scientific understanding and world-leading corrosion prediction models. Benefits can be expected for Australian industry, infrastructure and economics, and keeping Australian engineering consultants internationally competitive. "
"DP200100747",no,ARC,"ARC Discovery Projects","University of Melbourne","Prof Jennifer Flegg; A/Prof Jonathan Keith; A/Prof Jonathan ""Jack"" Richards",01-Jan-0020,553460,"Optimising progress towards elimination of malaria. The project aims to advance mathematical knowledge by developing novel tools appropriate for modelling disease elimination. We will apply these new mathematical tools to the significant problem of malaria elimination in Vietnam. The expected outcomes are new tools for modelling disease elimination on a fine spatial resolution with heterogeneities in individual patient characteristics, calibrating models to household level data on disease transmission and designing intervention strategies for maximum effect on disease transmission. The innovative combination of modelling, inference and optimisation ensures that the mathematical methods developed will be broadly applicable to modelling elimination strategies for other infectious diseases. 


"
"DP200100750",no,ARC,"ARC Discovery Projects","University of Wollongong","Prof Phil Orchard",01-Jan-0020,191500,"Creating Accountability: Improving Responses to Forced Displacement Crimes. This project aims to investigate how the United Nations and individual states can respond to forced displacement crimes through seven emerging accountability mechanisms at the domestic, regional, and international levels. The growth of conflict-induced forced migration is at unprecedented levels, driven in part by states that deliberately displace their own populations in contravention of international law. This project will use a comparative and focused approach to examine the effectiveness of the range of current efforts to hold state and individual perpetrators accountable. In so doing, it will directly inform the Australian and international policy-making response to such crimes with the goal of averting future forced migrant movements."
"DP200100757",no,ARC,"ARC Discovery Projects","Monash University","Prof Andrew Zalesky; Prof Adeel Razi; Prof Karl Friston",01-Jan-0020,517096,"Multiscale and multimodal modelling of brain dynamics. This project aims to understand dynamics of how several brain regions work together to process information. This project will generate new knowledge in brain sciences by using state of the art computational modelling and neuroimaging methods like functional and diffusion magnetic resonance imaging and electromagnetic measurements. This project will develop technologies to compute multiscale, multimodal and directed connectivity in the brain. Expected outcomes of this project will enhance our understanding of the brain’s functional organization and dynamics. The benefits of this project will include breakthroughs in development of new neuro-technologies like brain-machine interfaces and neuroscience inspired artificial intelligence. "
"DP200100760",no,ARC,"ARC Discovery Projects","University of Queensland","Dr Aude Bernard; Prof Neil Argent",01-Jan-0020,232708,"Where migrants go: A study of immigrants' post-arrival moves in Australia . The project aims to establish the geographical and occupational trajectories of different migrant groups after arrival in Australia. Migration within Australia is a key driver of economic, demographic and social change. Recognising the growing diversity of immigrants, including the rapid rise in temporary migration, the project examines post-arrival moves of immigrants by visa type, country of birth and year of arrival. It seeks to improve understanding of the incidence, spatial patterns and drivers of migrants’ movement within Australia and the socio-demographic impact on regions and individuals. Such understanding is an essential first step to the formulation of effective immigration and settlement policies and programs."
"DP200100762",no,ARC,"ARC Discovery Projects","University of Western Australia","Prof David Edwards",01-Jan-0020,373851,"Who’s who in the plant gene world? As many more plant genomes are sequenced, the bottleneck is being able to interrogate and translate this data into applications for crop improvement. This project will develop and apply a population graph database, hosting genome data for the world’s major crops and their wild relatives, allowing the characterisation of gene diversity on an unparalleled scale. Analysis of this data will reveal the presence/absence and sequence diversity for classes of genes for important agronomic traits including disease resistance, flowering time and legume nitrogen fixation which will enable plant breeders to identify and apply novel genes and allelic variants for use in breeding programmes, accelerating the production of improved crop varieties."
"DP200100765",no,ARC,"ARC Discovery Projects","Australian National University","Prof Richard Harrison; Prof Andrew Roberts; A/Prof David Heslop; Dr Adrian Muxworthy",01-Jan-0020,446645,"Single-sample unmixing with machine learning: a rock magnetic frontier. Magnetic rock-forming minerals can record important information about Earth’s magnetic field and climatic changes. In rock magnetism, we seek to quantify magnetic property variations in geological materials. Existing quantification methods are limited and provide bulk characterisation of all magnetic particles in a material rather than diagnostic information concerning individual mineral components. This Project aims to develop a machine-learning framework to “unmix” and quantify each magnetic mineral component in single natural samples, and will unlock a new quantitative era in rock magnetism. It is expected to have impact beyond Earth science by enabling magnetic characterisation in physics, materials science, and industry."
"DE200100649",no,ARC,"ARC Discovery Early Career Researcher Award","University of Western Sydney","Dr Renee Prokopavicius",01-Jan-0020,495367,"Green or crispy: Which plants use transpiration to survive heatwaves? Heatwaves are increasing in frequency and intensity, and extreme heat poses a significant threat to tree growth and survival. This project aims to investigate how different Australian tree species respond to extreme heat by tracking dynamic changes in water use during both natural and experimental heatwaves, representing current and future stress levels. Identification of a predictable response among plant functional types could be used to better forecast the potential effects of climate change on forest ecosystems. This project also expects to identify heat-tolerant tree species and their relevant physiological traits, which can improve the success of urban tree plantings to help create cooler, greener cities throughout Australia."
"DP200100773",no,ARC,"ARC Discovery Projects","University of Sydney","Prof Gianluca Ranzi; Prof Matthaios Santamouris; Dr Gloria Pignatta; Asst Prof Aaswath Pattabhi Raman; Asst Prof Kwok Shah; Prof Federico Rossi",01-Jan-0020,494860,"Scalable daytime radiative cooling for buildings and the built environment . This project aims at the development of a scalable daytime radiative cooling technology suitable for large deployments in the built environment that will help mitigating the urban heat island effect, and reduce future cooling energy needs in buildings. The main outcomes of the project will consist of the development of radiative coolers that will be able to operate in the built environment under Australian climatic conditions, and of clear guidelines for their large deployment. The technology is based on a passive cooling strategy requiring no energy for its operations. The outcomes of the project will also have a beneficial impact on the Australian building and construction industry."
